window_id,feat_mean,feat_std,feat_ptp,true_label,pred_label,modality
43,0.2062,0.5715,0.7566,alert,alert,EEG
44,-1.2051,0.3325,1.1166,drowsy,drowsy,EEG
45,0.5966,0.4005,1.2182,alert,alert,EEG
46,0.7695,0.3623,0.7977,drowsy,drowsy,EEG
47,-0.3553,0.5172,0.9377,drowsy,drowsy,EEG
48,0.6102,0.6278,0.475,alert,alert,EEG
49,0.245,0.5734,1.2721,alert,alert,EEG
50,-0.1974,0.8176,0.9354,alert,alert,EEG
51,-1.2935,0.3224,1.242,alert,alert,EEG
52,1.078,0.523,1.0618,drowsy,drowsy,EEG
53,0.7592,0.2434,0.9445,drowsy,drowsy,EEG
54,0.5839,0.3156,0.5222,alert,alert,EEG
55,1.5445,0.7529,0.5755,drowsy,drowsy,EEG
56,0.9452,0.4074,0.2221,alert,alert,EEG
57,0.6866,0.3393,0.8312,alert,alert,EEG
58,-2.2132,0.074,1.6835,drowsy,drowsy,EEG
59,1.1969,0.3373,0.6136,drowsy,alert,EEG
60,0.0831,0.4589,0.2106,alert,drowsy,EEG
61,0.3125,0.2285,1.2888,alert,alert,EEG
62,0.3193,0.4474,1.7091,alert,alert,EEG
63,0.7738,0.7541,1.0894,drowsy,drowsy,EEG
64,1.1222,0.3585,1.0866,drowsy,drowsy,EEG
65,0.6342,0.3113,0.907,drowsy,alert,EEG
66,0.4753,0.2752,0.4617,drowsy,drowsy,EEG
67,0.2315,0.2716,0.5648,alert,alert,EEG
68,-3.3516,0.6071,0.905,alert,alert,EEG
69,-0.2876,0.5097,0.8475,alert,alert,EEG
70,-0.9416,0.6914,0.9654,alert,alert,EEG
71,1.2107,0.904,1.2488,alert,alert,EEG
72,0.619,0.1339,0.8254,alert,alert,EEG
73,-0.4581,0.576,1.2549,drowsy,drowsy,EEG
74,-0.3577,0.2763,0.8274,drowsy,drowsy,EEG
75,-0.394,0.6578,1.3115,alert,alert,EEG
76,-0.4118,0.4456,1.0259,alert,drowsy,EEG
77,-1.4446,0.5055,0.8693,drowsy,drowsy,EEG
78,-1.6613,0.2434,1.0208,drowsy,drowsy,EEG
79,0.029,0.4147,0.9119,drowsy,drowsy,EEG
80,1.0753,0.5179,1.0339,drowsy,drowsy,EEG
81,-0.5377,0.7712,1.2274,alert,alert,EEG
82,0.3034,0.3411,0.9738,alert,alert,EEG
83,0.7343,0.3899,0.8891,alert,alert,EEG
84,-0.9934,0.6889,0.6629,alert,alert,EEG
85,-0.02,0.3281,1.1738,alert,alert,EEG
86,-0.6665,0.7285,1.1045,drowsy,drowsy,EEG
87,1.6061,0.4982,0.6454,alert,alert,EEG
88,1.5625,0.5606,1.2506,drowsy,drowsy,EEG
89,-0.9923,0.5735,0.6405,alert,alert,EEG
90,0.3859,0.3768,1.3088,alert,drowsy,EEG
91,1.0676,0.578,1.2064,alert,alert,EEG
92,0.8483,0.3455,1.1259,alert,alert,EEG
93,0.0816,0.3996,0.8869,alert,alert,EEG
94,1.3066,0.6117,1.1727,drowsy,drowsy,EEG
95,-0.9045,0.5587,1.3229,drowsy,drowsy,EEG
96,-0.3031,0.485,1.1777,drowsy,drowsy,EEG
97,-0.8776,0.2483,0.7989,alert,alert,EEG
98,0.7825,0.2982,1.0802,alert,alert,EEG
99,-0.5826,0.5553,1.3396,drowsy,drowsy,EEG
100,-0.1712,0.6464,1.6597,alert,alert,EEG
101,0.6177,0.2781,0.9384,alert,alert,EEG
102,0.6982,0.332,1.2574,drowsy,drowsy,EEG
103,-0.9071,0.5268,1.3403,alert,alert,EEG
104,1.0567,0.5226,0.7563,drowsy,drowsy,EEG
105,0.4557,0.1752,1.5346,alert,alert,EEG
106,-1.0817,0.5323,0.6804,drowsy,drowsy,EEG
107,-1.3277,0.3803,1.2427,alert,alert,EEG
108,-0.0158,0.8282,1.0916,alert,alert,EEG
109,0.8501,0.5498,1.0167,drowsy,drowsy,EEG
110,0.8757,0.5843,1.764,alert,alert,EEG
111,0.3562,0.5895,0.9096,alert,alert,EEG
112,0.0487,0.2572,0.9048,drowsy,drowsy,EEG
113,0.5117,0.8888,1.3994,alert,alert,EEG
114,-0.8553,0.1754,1.2285,drowsy,drowsy,EEG
115,1.687,0.6591,1.3846,alert,alert,EEG
116,1.6739,0.6237,1.0351,alert,alert,EEG
117,0.4288,0.4046,1.0951,alert,alert,EEG
118,0.1973,0.6333,1.5703,alert,alert,EEG
119,-0.4114,0.4365,0.7492,drowsy,drowsy,EEG
120,0.5287,0.3649,0.9691,alert,alert,EEG
121,-0.6913,0.5939,1.2395,drowsy,drowsy,EEG
122,-2.2236,0.2987,0.9412,alert,alert,EEG
123,-2.7141,0.4551,0.829,alert,alert,EEG
124,-0.7995,0.3812,1.1855,alert,alert,EEG
125,0.1564,0.4328,1.4007,alert,alert,EEG
126,0.332,0.5865,0.9577,drowsy,drowsy,EEG
127,-0.4868,0.3811,0.9494,drowsy,drowsy,EEG
128,0.1418,0.4615,0.8057,drowsy,drowsy,EEG
129,-0.2742,0.3994,0.9112,drowsy,drowsy,EEG
130,-0.9993,0.7888,1.3251,alert,alert,EEG
131,-0.0537,0.5685,1.0243,drowsy,alert,EEG
132,0.813,0.544,0.7585,drowsy,drowsy,EEG
133,-0.9541,0.6367,1.0787,alert,alert,EEG
134,-0.9536,0.3812,1.3154,alert,alert,EEG
135,-1.0693,0.6719,0.8314,alert,alert,EEG
136,-1.9365,0.5692,0.6014,alert,alert,EEG
137,-0.4802,0.1878,1.6572,drowsy,drowsy,EEG
138,0.7141,0.2144,0.5864,drowsy,drowsy,EEG
139,0.1739,0.3855,0.8923,alert,alert,EEG
140,-0.1693,0.2358,1.0696,alert,alert,EEG
141,0.1291,0.4523,0.9183,alert,alert,EEG
142,-0.489,0.2973,0.9775,drowsy,drowsy,EEG
143,-1.9479,0.4805,1.1731,drowsy,drowsy,EEG
144,0.7837,0.7823,0.2825,alert,drowsy,EEG
145,1.0711,0.4901,0.6199,alert,alert,EEG
146,-0.7282,0.4394,1.0133,drowsy,drowsy,EEG
147,-0.1508,0.5776,0.8787,alert,alert,EEG
148,-0.237,0.3607,1.0388,alert,alert,EEG
149,0.3513,0.6687,1.0683,drowsy,drowsy,EEG
150,1.6899,0.599,0.3652,alert,alert,EEG
