window_id,feat_mean,feat_std,feat_ptp,true_label,pred_label,modality
91,0.3802,0.2104,0.9035,gesture_A,gesture_A,EMG
92,0.6106,0.0602,1.623,gesture_C,gesture_C,EMG
93,0.5598,0.588,1.1146,gesture_C,gesture_C,EMG
94,1.0808,0.3996,1.129,gesture_C,gesture_C,EMG
95,0.8339,0.2958,1.3091,gesture_A,gesture_A,EMG
96,0.4592,0.6417,1.0716,gesture_B,gesture_B,EMG
97,-0.0702,0.5488,0.9223,gesture_A,gesture_A,EMG
98,-1.661,0.3872,0.9411,gesture_B,gesture_C,EMG
99,0.4296,0.2439,0.9785,gesture_B,gesture_B,EMG
100,0.2077,0.6745,0.9888,gesture_C,gesture_C,EMG
101,0.2716,0.63,1.2183,gesture_B,gesture_B,EMG
102,-1.2767,0.4802,1.0156,gesture_A,gesture_A,EMG
103,-1.0811,0.8693,1.2198,gesture_A,gesture_A,EMG
104,1.0532,0.286,0.9758,gesture_B,gesture_B,EMG
105,-0.0396,0.1949,1.0236,gesture_C,gesture_C,EMG
106,0.6815,0.3616,0.4005,gesture_C,gesture_A,EMG
107,0.0283,0.4909,1.2749,gesture_A,gesture_A,EMG
108,0.0298,0.5487,1.1039,gesture_C,gesture_C,EMG
109,0.9383,0.4518,1.2994,gesture_B,gesture_B,EMG
110,-0.516,0.5704,0.1311,gesture_B,gesture_B,EMG
111,0.0961,0.2497,1.6265,gesture_A,gesture_A,EMG
112,-0.4623,0.7888,0.9581,gesture_B,gesture_B,EMG
113,-0.4345,0.4836,1.3325,gesture_A,gesture_A,EMG
114,-0.3092,0.7235,0.688,gesture_B,gesture_B,EMG
115,0.2221,0.5685,1.1838,gesture_A,gesture_C,EMG
116,-0.4787,0.5914,0.684,gesture_C,gesture_C,EMG
117,1.2558,0.614,0.8129,gesture_B,gesture_B,EMG
118,-0.8946,0.5895,1.5742,gesture_B,gesture_A,EMG
119,-0.1869,0.6285,0.9428,gesture_A,gesture_A,EMG
120,-0.4397,0.7658,1.0652,gesture_A,gesture_A,EMG
121,1.447,0.5393,1.261,gesture_B,gesture_B,EMG
122,0.1966,0.6418,1.1487,gesture_A,gesture_A,EMG
123,1.0318,0.4821,1.0451,gesture_B,gesture_B,EMG
124,-1.4856,0.788,1.1095,gesture_C,gesture_C,EMG
125,0.2671,0.3647,1.721,gesture_A,gesture_A,EMG
126,0.8896,0.8602,0.9827,gesture_B,gesture_B,EMG
127,0.0823,0.492,1.0603,gesture_C,gesture_A,EMG
128,1.0655,0.2138,1.3152,gesture_C,gesture_C,EMG
129,-0.5173,0.5256,1.3317,gesture_B,gesture_B,EMG
130,1.4093,0.3638,1.3561,gesture_A,gesture_A,EMG
131,2.2989,0.6681,1.1916,gesture_B,gesture_B,EMG
132,-0.3628,0.3695,0.6571,gesture_C,gesture_C,EMG
133,-0.4455,0.4108,1.49,gesture_B,gesture_A,EMG
134,1.4534,0.1221,0.6561,gesture_A,gesture_A,EMG
135,1.5796,0.4095,1.0908,gesture_C,gesture_C,EMG
136,-0.5229,0.0152,0.7737,gesture_B,gesture_A,EMG
137,-0.4202,0.1832,0.9808,gesture_A,gesture_A,EMG
138,-0.2818,0.6521,1.0986,gesture_C,gesture_A,EMG
139,-1.3445,0.6572,1.0964,gesture_A,gesture_A,EMG
140,-0.9187,0.5851,1.1266,gesture_C,gesture_C,EMG
141,-1.0041,0.3066,1.4841,gesture_B,gesture_B,EMG
142,-0.7678,0.4905,1.1361,gesture_A,gesture_C,EMG
143,-0.0347,0.4993,0.9268,gesture_C,gesture_B,EMG
144,0.2342,0.2683,1.2892,gesture_A,gesture_A,EMG
145,1.5505,0.8007,1.3568,gesture_A,gesture_A,EMG
146,-0.9984,0.6755,0.6317,gesture_B,gesture_B,EMG
147,0.9843,0.4558,1.1792,gesture_A,gesture_B,EMG
148,-0.214,0.5054,1.2104,gesture_C,gesture_C,EMG
149,-0.0495,0.5417,0.9107,gesture_C,gesture_C,EMG
150,0.6748,0.0917,1.4127,gesture_C,gesture_C,EMG
